date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:52	31414/31414	---MCZ	200	added ('OK')	text/html	etag:W/%225d371095-7ab6%22	http://templates.framework-y.com/techline/demo-main/index-portfolio.html	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/demo-main/index-portfolio.html	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:52	51586/51586	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-c982%22	http://templates.framework-y.com/techline/images/intro/consulting.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/consulting.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:53	69927/69927	---MCZ	200	added ('OK')	text/html	etag:W/%225d371095-11127%22	http://templates.framework-y.com/techline/demo-main/index-side-menu.html	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/demo-main/index-side-menu.html	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:53	52490/52490	---MCZ	200	added ('OK')	text/html	etag:W/%225d371095-cd0a%22	http://templates.framework-y.com/techline/demo-main/index-fullpage.html	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/demo-main/index-fullpage.html	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:58	50232/50232	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-c438%22	http://templates.framework-y.com/techline/images/intro/boxed.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/boxed.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:59	40908/40908	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-9fcc%22	http://templates.framework-y.com/techline/images/intro/side-menu.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/side-menu.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:13:00	2208/2208	---M--	200	added ('OK')	image/png	etag:%225d371095-8a0%22	http://templates.framework-y.com/techline/images/framework-y.png	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/framework-y.png	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:13:02	106927/106927	---MCZ	200	added ('OK')	text/css	etag:W/%225d371095-1a1af%22	http://templates.framework-y.com/techline/scripts/iconsmind/line-icons.min.css	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/scripts/iconsmind/line-icons.min.css	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:13:02	61295/61295	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-ef6f%22	http://templates.framework-y.com/techline/images/intro/portfolio.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/portfolio.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:13:03	15621/15621	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d371095-3d05%22	http://templates.framework-y.com/techline/scripts/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/scripts/bootstrap/js/bootstrap.min.js	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:13:03	8114/8114	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d371096-1fb2%22	http://templates.framework-y.com/techline/scripts/imagesloaded.min.js	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/scripts/imagesloaded.min.js	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:13:04	9207/9207	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d371096-23f7%22	http://templates.framework-y.com/techline/scripts/parallax.min.js	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/scripts/parallax.min.js	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:13:05	43332/43332	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-a944%22	http://templates.framework-y.com/techline/images/intro/intro.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/intro.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:13:05	25591/25591	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d371095-63f7%22	http://templates.framework-y.com/techline/scripts/flexslider/jquery.flexslider-min.js	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/scripts/flexslider/jquery.flexslider-min.js	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:13:05	3156/3156	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d371096-c54%22	http://templates.framework-y.com/techline/scripts/php/contact-form.js	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/scripts/php/contact-form.js	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:13:06	40229/40229	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d371096-9d25%22	http://templates.framework-y.com/techline/scripts/isotope.min.js	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/scripts/isotope.min.js	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:13:06	9675/9675	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d371096-25cb%22	http://templates.framework-y.com/techline/scripts/jquery.progress-counter.js	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/scripts/jquery.progress-counter.js	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:13:06	5139/5139	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d371096-1413%22	http://templates.framework-y.com/techline/scripts/jquery.tab-accordion.js	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/scripts/jquery.tab-accordion.js	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:13:06	95514/95514	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-1751a%22	http://templates.framework-y.com/techline/images/intro/fullpage.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/fullpage.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:13:06	12194/12194	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d371095-2fa2%22	http://templates.framework-y.com/techline/scripts/bootstrap/js/bootstrap.popover.min.js	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/scripts/bootstrap/js/bootstrap.popover.min.js	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:13:07	24588/24588	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d371096-600c%22	http://templates.framework-y.com/techline/scripts/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/scripts/jquery.magnific-popup.min.js	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:13:07	15451/15451	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d371096-3c5b%22	http://templates.framework-y.com/techline/scripts/social.stream.min.js	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/scripts/social.stream.min.js	(from http://templates.framework-y.com/techline/demo-main/index.html)
